19:45:52 Started training model FirstModel with timestamp 1688147152202869900 using the following parameters:
class_count=12
epoch_count=100
batch_size=50
learning_rate=0.0001
weight_decay=0.0001
cuda=True
resize_size=300
use_crop=True
crop_size=250
cross_validation=True
validation_split_percentage=40
validation_epochs=30
validation_accuracy_check=10
validation_grid={'lr': [0.001, 0.0001, 5e-05, 1e-05, 1e-06], 'wd': [0.1, 0.01, 0.001, 0.0001, 1e-05]}
print_to_file=True

19:45:52 ============ CV run for lr 0.001 and wd 0.1 ============
19:45:54 Epoch 1/30, train loss: 35.1020, train acc: 0.1047, val loss: 34.5803, val acc: 0.0888
19:45:56 Epoch 2/30, train loss: 42.6200, train acc: 0.1221, val loss: 32.4665, val acc: 0.1081
19:45:57 Epoch 3/30, train loss: 25.9207, train acc: 0.1512, val loss: 20.7988, val acc: 0.1274
19:45:59 Epoch 4/30, train loss: 23.0043, train acc: 0.1221, val loss: 25.9484, val acc: 0.0849
19:46:00 Epoch 5/30, train loss: 17.6264, train acc: 0.1221, val loss: 12.5536, val acc: 0.1120
19:46:02 Epoch 6/30, train loss: 13.0118, train acc: 0.1221, val loss: 10.6454, val acc: 0.1042
19:46:03 Epoch 7/30, train loss: 8.6414, train acc: 0.1221, val loss: 9.2461, val acc: 0.1699
19:46:05 Epoch 8/30, train loss: 6.0518, train acc: 0.2616, val loss: 4.9414, val acc: 0.2355
19:46:06 Epoch 9/30, train loss: 4.0394, train acc: 0.2267, val loss: 2.8399, val acc: 0.2317
19:46:08 Epoch 10/30, train loss: 2.4562, train acc: 0.2558, val loss: 2.9325, val acc: 0.2548
19:46:10 Epoch 11/30, train loss: 1.9206, train acc: 0.4767, val loss: 1.9178, val acc: 0.4015
19:46:11 Epoch 12/30, train loss: 1.5511, train acc: 0.5349, val loss: 1.7717, val acc: 0.3861
19:46:13 Epoch 13/30, train loss: 1.6760, train acc: 0.4244, val loss: 1.8292, val acc: 0.3822
19:46:14 Epoch 14/30, train loss: 1.4563, train acc: 0.5640, val loss: 1.9622, val acc: 0.3320
19:46:16 Epoch 15/30, train loss: 1.6959, train acc: 0.5233, val loss: 2.5953, val acc: 0.2046
19:46:18 Epoch 16/30, train loss: 1.9996, train acc: 0.3605, val loss: 1.9547, val acc: 0.3282
19:46:19 Epoch 17/30, train loss: 1.7642, train acc: 0.4244, val loss: 1.9545, val acc: 0.3398
19:46:21 Epoch 18/30, train loss: 1.8099, train acc: 0.4186, val loss: 2.2239, val acc: 0.2239
19:46:22 Epoch 19/30, train loss: 1.9219, train acc: 0.3314, val loss: 2.4666, val acc: 0.2703
19:46:24 Epoch 20/30, train loss: 1.9224, train acc: 0.3663, val loss: 2.2602, val acc: 0.2278
19:46:25 Epoch 21/30, train loss: 1.7775, train acc: 0.4012, val loss: 1.6751, val acc: 0.3707
19:46:27 Epoch 22/30, train loss: 1.4950, train acc: 0.5465, val loss: 1.6583, val acc: 0.4054
19:46:29 Epoch 23/30, train loss: 1.4551, train acc: 0.5233, val loss: 1.6234, val acc: 0.4402
19:46:30 Epoch 24/30, train loss: 1.3953, train acc: 0.5465, val loss: 1.6013, val acc: 0.4324
19:46:32 Epoch 25/30, train loss: 1.2253, train acc: 0.5756, val loss: 1.5628, val acc: 0.4015
19:46:33 Epoch 26/30, train loss: 1.3420, train acc: 0.5407, val loss: 1.9381, val acc: 0.4556
19:46:35 Epoch 27/30, train loss: 1.5189, train acc: 0.5174, val loss: 1.8785, val acc: 0.3282
19:46:37 Epoch 28/30, train loss: 1.7626, train acc: 0.4012, val loss: 2.4621, val acc: 0.2239
19:46:38 Epoch 29/30, train loss: 2.0726, train acc: 0.3721, val loss: 1.5476, val acc: 0.4517
19:46:40 Epoch 30/30, train loss: 1.4446, train acc: 0.5058, val loss: 1.8425, val acc: 0.4015
19:46:40 Mean validation accuracy: 0.39111969111969114

19:46:40 ============ CV run for lr 0.001 and wd 0.01 ============
19:46:42 Epoch 1/30, train loss: 44.6841, train acc: 0.1047, val loss: 43.3088, val acc: 0.0927
19:46:43 Epoch 2/30, train loss: 42.3169, train acc: 0.0640, val loss: 48.8608, val acc: 0.0888
19:46:45 Epoch 3/30, train loss: 44.7571, train acc: 0.0872, val loss: 27.7689, val acc: 0.1737
19:46:47 Epoch 4/30, train loss: 19.8173, train acc: 0.1919, val loss: 22.5154, val acc: 0.1274
19:46:48 Epoch 5/30, train loss: 12.6561, train acc: 0.1686, val loss: 8.3098, val acc: 0.1467
19:46:50 Epoch 6/30, train loss: 7.0793, train acc: 0.1977, val loss: 9.5258, val acc: 0.2124
19:46:51 Epoch 7/30, train loss: 7.5953, train acc: 0.2674, val loss: 7.7929, val acc: 0.1506
19:46:53 Epoch 8/30, train loss: 4.4843, train acc: 0.2907, val loss: 3.1848, val acc: 0.1969
19:46:54 Epoch 9/30, train loss: 3.4538, train acc: 0.2733, val loss: 3.1473, val acc: 0.2703
19:46:56 Epoch 10/30, train loss: 2.0719, train acc: 0.4186, val loss: 2.8943, val acc: 0.2857
19:46:58 Epoch 11/30, train loss: 2.1390, train acc: 0.4186, val loss: 1.8348, val acc: 0.4440
19:46:59 Epoch 12/30, train loss: 1.6457, train acc: 0.4593, val loss: 1.7481, val acc: 0.4208
19:47:01 Epoch 13/30, train loss: 1.1286, train acc: 0.6512, val loss: 1.8568, val acc: 0.4093
19:47:02 Epoch 14/30, train loss: 1.1243, train acc: 0.5756, val loss: 1.5309, val acc: 0.4595
19:47:04 Epoch 15/30, train loss: 1.0112, train acc: 0.6686, val loss: 1.3547, val acc: 0.5367
19:47:06 Epoch 16/30, train loss: 0.9868, train acc: 0.6686, val loss: 1.2789, val acc: 0.5946
19:47:07 Epoch 17/30, train loss: 0.8411, train acc: 0.7442, val loss: 1.4136, val acc: 0.5058
19:47:09 Epoch 18/30, train loss: 0.7924, train acc: 0.7442, val loss: 1.1659, val acc: 0.6448
19:47:10 Epoch 19/30, train loss: 0.8944, train acc: 0.7384, val loss: 1.2062, val acc: 0.6062
19:47:12 Epoch 20/30, train loss: 0.7853, train acc: 0.7500, val loss: 1.4525, val acc: 0.4788
19:47:14 Epoch 21/30, train loss: 0.7160, train acc: 0.7733, val loss: 1.2600, val acc: 0.5830
19:47:15 Epoch 22/30, train loss: 0.6309, train acc: 0.8256, val loss: 1.1871, val acc: 0.5985
19:47:17 Epoch 23/30, train loss: 0.6534, train acc: 0.8140, val loss: 1.2565, val acc: 0.5830
19:47:18 Epoch 24/30, train loss: 0.7490, train acc: 0.7674, val loss: 1.3014, val acc: 0.5290
19:47:20 Epoch 25/30, train loss: 0.6864, train acc: 0.7907, val loss: 1.7931, val acc: 0.4865
19:47:21 Epoch 26/30, train loss: 0.8236, train acc: 0.7035, val loss: 1.5248, val acc: 0.5097
19:47:23 Epoch 27/30, train loss: 0.8036, train acc: 0.7209, val loss: 1.6050, val acc: 0.4788
