11:50:41 Started training model FirstModel with timestamp 1688205041529575700 using the following parameters:
class_count=87
epoch_count=100
batch_size=50
learning_rate=0.0001
weight_decay=0.0001
cuda=True
resize_size=300
use_crop=True
crop_size=250
cross_validation=True
validation_split_percentage=40
validation_epochs=30
validation_accuracy_check=10
validation_grid={'lr': [0.001, 0.0001, 5e-05, 1e-05, 1e-06], 'wd': [0.1, 0.01, 0.001, 0.0001, 1e-05]}
print_to_file=True

11:50:41 Key for the classes:
{'Alexandrite': 0, 'Almandine': 1, 'Amazonite': 2, 'Amber': 3, 'Amethyst': 4, 'Ametrine': 5, 'Andalusite': 6, 'Andradite': 7, 'Aquamarine': 8, 'Aventurine Green': 9, 'Aventurine Yellow': 10, 'Benitoite': 11, 'Beryl Golden': 12, 'Bixbite': 13, 'Bloodstone': 14, 'Blue Lace Agate': 15, 'Carnelian': 16, 'Cats Eye': 17, 'Chalcedony': 18, 'Chalcedony Blue': 19, 'Chrome Diopside': 20, 'Chrysoberyl': 21, 'Chrysocolla': 22, 'Chrysoprase': 23, 'Citrine': 24, 'Coral': 25, 'Danburite': 26, 'Diamond': 27, 'Diaspore': 28, 'Dumortierite': 29, 'Emerald': 30, 'Fluorite': 31, 'Garnet Red': 32, 'Goshenite': 33, 'Grossular': 34, 'Hessonite': 35, 'Hiddenite': 36, 'Iolite': 37, 'Jade': 38, 'Jasper': 39, 'Kunzite': 40, 'Kyanite': 41, 'Labradorite': 42, 'Lapis Lazuli': 43, 'Larimar': 44, 'Malachite': 45, 'Moonstone': 46, 'Morganite': 47, 'Onyx Black': 48, 'Onyx Green': 49, 'Onyx Red': 50, 'Opal': 51, 'Pearl': 52, 'Peridot': 53, 'Prehnite': 54, 'Pyrite': 55, 'Pyrope': 56, 'Quartz Beer': 57, 'Quartz Lemon': 58, 'Quartz Rose': 59, 'Quartz Rutilated': 60, 'Quartz Smoky': 61, 'Rhodochrosite': 62, 'Rhodolite': 63, 'Rhodonite': 64, 'Ruby': 65, 'Sapphire Blue': 66, 'Sapphire Pink': 67, 'Sapphire Purple': 68, 'Sapphire Yellow': 69, 'Scapolite': 70, 'Serpentine': 71, 'Sodalite': 72, 'Spessartite': 73, 'Sphene': 74, 'Spinel': 75, 'Spodumene': 76, 'Sunstone': 77, 'Tanzanite': 78, 'Tigers Eye': 79, 'Topaz': 80, 'Tourmaline': 81, 'Tsavorite': 82, 'Turquoise': 83, 'Variscite': 84, 'Zircon': 85, 'Zoisite': 86}
11:50:42 ============ CV run for lr 0.001 and wd 0.1 ============
11:50:53 Epoch 1/30, train loss: 38.5796, train acc: 0.0114, val loss: 15.4481, val acc: 0.0105
11:51:03 Epoch 2/30, train loss: 6.4398, train acc: 0.0088, val loss: 4.5167, val acc: 0.0093
11:51:12 Epoch 3/30, train loss: 4.5007, train acc: 0.0149, val loss: 4.5692, val acc: 0.0070
11:51:22 Epoch 4/30, train loss: 4.4670, train acc: 0.0236, val loss: 4.4841, val acc: 0.0111
11:51:31 Epoch 5/30, train loss: 4.4279, train acc: 0.0123, val loss: 4.5398, val acc: 0.0263
11:51:41 Epoch 6/30, train loss: 4.3747, train acc: 0.0280, val loss: 4.3994, val acc: 0.0198
11:51:50 Epoch 7/30, train loss: 4.2713, train acc: 0.0306, val loss: 4.3127, val acc: 0.0408
11:51:59 Epoch 8/30, train loss: 4.1836, train acc: 0.0377, val loss: 4.4059, val acc: 0.0321
11:52:09 Epoch 9/30, train loss: 4.1369, train acc: 0.0429, val loss: 4.2228, val acc: 0.0432
11:52:18 Epoch 10/30, train loss: 4.1275, train acc: 0.0359, val loss: 4.2234, val acc: 0.0420
11:52:28 Epoch 11/30, train loss: 4.1035, train acc: 0.0455, val loss: 4.2223, val acc: 0.0298
11:52:37 Epoch 12/30, train loss: 4.0918, train acc: 0.0482, val loss: 4.1350, val acc: 0.0478
11:52:46 Epoch 13/30, train loss: 4.0621, train acc: 0.0420, val loss: 4.5940, val acc: 0.0309
11:52:56 Epoch 14/30, train loss: 4.1564, train acc: 0.0394, val loss: 4.1241, val acc: 0.0385
11:53:05 Epoch 15/30, train loss: 4.0606, train acc: 0.0420, val loss: 4.1446, val acc: 0.0443
11:53:14 Epoch 16/30, train loss: 4.0613, train acc: 0.0420, val loss: 4.1625, val acc: 0.0362
11:53:24 Epoch 17/30, train loss: 4.0250, train acc: 0.0403, val loss: 4.4037, val acc: 0.0268
11:53:33 Epoch 18/30, train loss: 4.0561, train acc: 0.0455, val loss: 4.1597, val acc: 0.0397
11:53:42 Epoch 19/30, train loss: 4.0639, train acc: 0.0438, val loss: 4.3368, val acc: 0.0403
11:53:52 Epoch 20/30, train loss: 4.0852, train acc: 0.0420, val loss: 4.1907, val acc: 0.0426
11:54:01 Epoch 21/30, train loss: 4.0398, train acc: 0.0499, val loss: 4.6068, val acc: 0.0152
11:54:11 Epoch 22/30, train loss: 4.0706, train acc: 0.0447, val loss: 4.0590, val acc: 0.0379
11:54:21 Epoch 23/30, train loss: 4.0382, train acc: 0.0534, val loss: 4.0704, val acc: 0.0449
11:54:30 Epoch 24/30, train loss: 4.1819, train acc: 0.0385, val loss: 4.0869, val acc: 0.0344
11:54:40 Epoch 25/30, train loss: 4.0239, train acc: 0.0552, val loss: 4.1154, val acc: 0.0420
