14:08:46 Started training model FirstModel with timestamp 1688213326631910300 using the following parameters:
class_count=12
epoch_count=1000
batch_size=50
learning_rate=1e-06
weight_decay=0
cuda=True
resize_size=80
use_crop=False
crop_size=250
cross_validation=False
validation_split_percentage=40
validation_epochs=20
validation_accuracy_check=10
validation_grid=None
print_to_file=True

14:08:46 Key for the classes:
{'Aquamarine': 0, 'Beryl Golden': 1, 'Bixbite': 2, 'Chrysocolla': 3, 'Emerald': 4, 'Garnet Red': 5, 'Jasper': 6, 'Moonstone': 7, 'Opal': 8, 'Rhodolite': 9, 'Spodumene': 10, 'Tanzanite': 11}
14:08:46 ====== Train the model using lr of 1e-06 and wd of 0 ======
14:08:47 Epoch 1/1000, train loss: 2.4876, train acc: 0.0905, val loss: 2.4937, val acc: 0.0755
14:08:48 Epoch 2/1000, train loss: 2.4760, train acc: 0.0858, val loss: 2.4831, val acc: 0.0755
14:08:49 Epoch 3/1000, train loss: 2.4677, train acc: 0.1044, val loss: 2.4779, val acc: 0.0755
14:08:50 Epoch 4/1000, train loss: 2.4590, train acc: 0.1346, val loss: 2.4668, val acc: 0.1132
14:08:50 Epoch 5/1000, train loss: 2.4538, train acc: 0.1392, val loss: 2.4575, val acc: 0.0755
14:08:51 Epoch 6/1000, train loss: 2.4468, train acc: 0.1462, val loss: 2.4592, val acc: 0.1132
14:08:52 Epoch 7/1000, train loss: 2.4410, train acc: 0.1694, val loss: 2.4532, val acc: 0.1321
14:08:53 Epoch 8/1000, train loss: 2.4337, train acc: 0.1926, val loss: 2.4489, val acc: 0.1509
14:08:53 Epoch 9/1000, train loss: 2.4274, train acc: 0.2135, val loss: 2.4421, val acc: 0.1509
14:08:54 Epoch 10/1000, train loss: 2.4231, train acc: 0.2390, val loss: 2.4395, val acc: 0.1887
14:08:55 Epoch 11/1000, train loss: 2.4156, train acc: 0.2506, val loss: 2.4370, val acc: 0.1509
14:08:56 Epoch 12/1000, train loss: 2.4106, train acc: 0.2784, val loss: 2.4302, val acc: 0.1321
14:08:57 Epoch 13/1000, train loss: 2.4063, train acc: 0.3109, val loss: 2.4365, val acc: 0.1887
14:08:57 Epoch 14/1000, train loss: 2.3997, train acc: 0.3016, val loss: 2.4331, val acc: 0.1321
14:08:58 Epoch 15/1000, train loss: 2.3944, train acc: 0.3295, val loss: 2.4237, val acc: 0.2075
14:08:59 Epoch 16/1000, train loss: 2.3877, train acc: 0.3550, val loss: 2.4237, val acc: 0.1887
14:09:00 Epoch 17/1000, train loss: 2.3825, train acc: 0.3619, val loss: 2.4178, val acc: 0.2264
14:09:01 Epoch 18/1000, train loss: 2.3781, train acc: 0.3921, val loss: 2.4156, val acc: 0.2264
14:09:01 Epoch 19/1000, train loss: 2.3710, train acc: 0.3968, val loss: 2.4116, val acc: 0.2453
14:09:02 Epoch 20/1000, train loss: 2.3667, train acc: 0.4014, val loss: 2.4160, val acc: 0.2642
14:09:03 Epoch 21/1000, train loss: 2.3616, train acc: 0.4037, val loss: 2.4132, val acc: 0.2642
14:09:04 Epoch 22/1000, train loss: 2.3558, train acc: 0.4246, val loss: 2.4045, val acc: 0.2642
14:09:04 Epoch 23/1000, train loss: 2.3490, train acc: 0.4316, val loss: 2.4032, val acc: 0.2642
14:09:05 Epoch 24/1000, train loss: 2.3429, train acc: 0.4223, val loss: 2.3987, val acc: 0.2830
14:09:06 Epoch 25/1000, train loss: 2.3393, train acc: 0.4362, val loss: 2.4008, val acc: 0.2642
14:09:07 Epoch 26/1000, train loss: 2.3347, train acc: 0.4107, val loss: 2.3986, val acc: 0.3019
14:09:08 Epoch 27/1000, train loss: 2.3271, train acc: 0.4269, val loss: 2.3908, val acc: 0.3019
14:09:08 Epoch 28/1000, train loss: 2.3242, train acc: 0.4292, val loss: 2.3908, val acc: 0.2830
14:09:09 Epoch 29/1000, train loss: 2.3174, train acc: 0.4478, val loss: 2.3899, val acc: 0.3208
14:09:10 Epoch 30/1000, train loss: 2.3123, train acc: 0.4617, val loss: 2.3840, val acc: 0.3208
14:09:11 Epoch 31/1000, train loss: 2.3072, train acc: 0.4664, val loss: 2.3806, val acc: 0.3396
14:09:11 Epoch 32/1000, train loss: 2.3008, train acc: 0.4803, val loss: 2.3712, val acc: 0.3396
14:09:12 Epoch 33/1000, train loss: 2.2939, train acc: 0.4942, val loss: 2.3679, val acc: 0.3208
14:09:13 Epoch 34/1000, train loss: 2.2902, train acc: 0.4942, val loss: 2.3678, val acc: 0.3208
14:09:14 Epoch 35/1000, train loss: 2.2838, train acc: 0.4872, val loss: 2.3631, val acc: 0.3208
14:09:15 Epoch 36/1000, train loss: 2.2778, train acc: 0.4826, val loss: 2.3615, val acc: 0.3585
14:09:15 Epoch 37/1000, train loss: 2.2725, train acc: 0.4803, val loss: 2.3580, val acc: 0.3396
14:09:16 Epoch 38/1000, train loss: 2.2665, train acc: 0.4896, val loss: 2.3531, val acc: 0.3396
14:09:17 Epoch 39/1000, train loss: 2.2611, train acc: 0.5104, val loss: 2.3476, val acc: 0.3208
14:09:18 Epoch 40/1000, train loss: 2.2568, train acc: 0.5012, val loss: 2.3473, val acc: 0.3019
14:09:18 Epoch 41/1000, train loss: 2.2506, train acc: 0.5012, val loss: 2.3464, val acc: 0.3208
14:09:19 Epoch 42/1000, train loss: 2.2456, train acc: 0.4942, val loss: 2.3403, val acc: 0.3208
14:09:20 Epoch 43/1000, train loss: 2.2376, train acc: 0.5012, val loss: 2.3357, val acc: 0.3396
14:09:21 Epoch 44/1000, train loss: 2.2359, train acc: 0.5035, val loss: 2.3368, val acc: 0.3396
14:09:22 Epoch 45/1000, train loss: 2.2301, train acc: 0.5197, val loss: 2.3273, val acc: 0.3396
14:09:22 Epoch 46/1000, train loss: 2.2223, train acc: 0.5360, val loss: 2.3262, val acc: 0.3396
14:09:23 Epoch 47/1000, train loss: 2.2181, train acc: 0.5267, val loss: 2.3193, val acc: 0.3208
14:09:24 Epoch 48/1000, train loss: 2.2106, train acc: 0.5290, val loss: 2.3201, val acc: 0.3208
14:09:25 Epoch 49/1000, train loss: 2.2056, train acc: 0.5429, val loss: 2.3160, val acc: 0.3396
14:09:26 Epoch 50/1000, train loss: 2.2028, train acc: 0.5336, val loss: 2.3096, val acc: 0.3585
14:09:26 Epoch 51/1000, train loss: 2.1955, train acc: 0.5197, val loss: 2.3101, val acc: 0.3585
14:09:27 Epoch 52/1000, train loss: 2.1908, train acc: 0.5383, val loss: 2.3055, val acc: 0.3396
14:09:28 Epoch 53/1000, train loss: 2.1854, train acc: 0.5452, val loss: 2.2929, val acc: 0.3396
14:09:29 Epoch 54/1000, train loss: 2.1789, train acc: 0.5615, val loss: 2.2887, val acc: 0.3585
14:09:29 Epoch 55/1000, train loss: 2.1723, train acc: 0.5661, val loss: 2.2816, val acc: 0.3585
14:09:30 Epoch 56/1000, train loss: 2.1684, train acc: 0.5592, val loss: 2.2801, val acc: 0.3585
14:09:31 Epoch 57/1000, train loss: 2.1619, train acc: 0.5708, val loss: 2.2776, val acc: 0.3585
14:09:32 Epoch 58/1000, train loss: 2.1558, train acc: 0.5708, val loss: 2.2733, val acc: 0.3962
14:09:33 Epoch 59/1000, train loss: 2.1519, train acc: 0.5661, val loss: 2.2641, val acc: 0.3774
14:09:34 Epoch 60/1000, train loss: 2.1449, train acc: 0.5824, val loss: 2.2569, val acc: 0.3962
14:09:34 Epoch 61/1000, train loss: 2.1401, train acc: 0.5800, val loss: 2.2577, val acc: 0.3962
14:09:35 Epoch 62/1000, train loss: 2.1381, train acc: 0.5661, val loss: 2.2614, val acc: 0.3774
14:09:36 Epoch 63/1000, train loss: 2.1303, train acc: 0.5638, val loss: 2.2554, val acc: 0.3774
14:09:37 Epoch 64/1000, train loss: 2.1267, train acc: 0.5638, val loss: 2.2436, val acc: 0.3962
14:09:38 Epoch 65/1000, train loss: 2.1214, train acc: 0.5638, val loss: 2.2405, val acc: 0.3962
14:09:38 Epoch 66/1000, train loss: 2.1132, train acc: 0.5592, val loss: 2.2321, val acc: 0.3962
14:09:39 Epoch 67/1000, train loss: 2.1032, train acc: 0.5615, val loss: 2.2287, val acc: 0.4151
14:09:40 Epoch 68/1000, train loss: 2.1019, train acc: 0.5777, val loss: 2.2237, val acc: 0.4340
14:09:41 Epoch 69/1000, train loss: 2.0978, train acc: 0.5777, val loss: 2.2253, val acc: 0.3962
14:09:41 Epoch 70/1000, train loss: 2.0917, train acc: 0.5754, val loss: 2.2145, val acc: 0.4340
14:09:42 Epoch 71/1000, train loss: 2.0897, train acc: 0.5986, val loss: 2.2221, val acc: 0.4340
14:09:43 Epoch 72/1000, train loss: 2.0834, train acc: 0.5963, val loss: 2.2231, val acc: 0.4528
14:09:44 Epoch 73/1000, train loss: 2.0790, train acc: 0.5777, val loss: 2.2239, val acc: 0.4340
14:09:45 Epoch 74/1000, train loss: 2.0746, train acc: 0.5777, val loss: 2.2099, val acc: 0.4340
14:09:45 Epoch 75/1000, train loss: 2.0681, train acc: 0.5893, val loss: 2.1994, val acc: 0.4340
14:09:46 Epoch 76/1000, train loss: 2.0609, train acc: 0.5940, val loss: 2.1972, val acc: 0.4340
14:09:47 Epoch 77/1000, train loss: 2.0590, train acc: 0.5963, val loss: 2.1956, val acc: 0.4340
14:09:48 Epoch 78/1000, train loss: 2.0528, train acc: 0.5870, val loss: 2.1905, val acc: 0.4340
14:09:49 Epoch 79/1000, train loss: 2.0488, train acc: 0.5986, val loss: 2.1760, val acc: 0.4528
14:09:49 Epoch 80/1000, train loss: 2.0381, train acc: 0.6056, val loss: 2.1806, val acc: 0.4340
14:09:50 Epoch 81/1000, train loss: 2.0351, train acc: 0.5824, val loss: 2.1785, val acc: 0.4151
14:09:51 Epoch 82/1000, train loss: 2.0322, train acc: 0.5893, val loss: 2.1765, val acc: 0.4528
14:09:52 Epoch 83/1000, train loss: 2.0266, train acc: 0.6032, val loss: 2.1678, val acc: 0.4906
14:09:52 Epoch 84/1000, train loss: 2.0203, train acc: 0.6102, val loss: 2.1721, val acc: 0.4528
14:09:53 Epoch 85/1000, train loss: 2.0109, train acc: 0.6125, val loss: 2.1670, val acc: 0.4717
14:09:54 Epoch 86/1000, train loss: 2.0077, train acc: 0.6195, val loss: 2.1649, val acc: 0.4717
14:09:55 Epoch 87/1000, train loss: 1.9998, train acc: 0.6195, val loss: 2.1569, val acc: 0.4717
14:09:56 Epoch 88/1000, train loss: 2.0000, train acc: 0.6102, val loss: 2.1511, val acc: 0.4340
14:09:56 Epoch 89/1000, train loss: 1.9940, train acc: 0.6125, val loss: 2.1460, val acc: 0.4906
14:09:57 Epoch 90/1000, train loss: 1.9929, train acc: 0.6172, val loss: 2.1423, val acc: 0.4528
