14:23:38 Started training model FirstModel with timestamp 1688214218321429300 using the following parameters:
class_count=12
epoch_count=1000
batch_size=50
learning_rate=0.0001
weight_decay=0
cuda=True
resize_size=100
use_crop=False
crop_size=250
cross_validation=False
validation_split_percentage=40
validation_epochs=20
validation_accuracy_check=10
validation_grid=None
print_to_file=True

14:23:38 Key for the classes:
{'Aquamarine': 0, 'Beryl Golden': 1, 'Bixbite': 2, 'Chrysocolla': 3, 'Emerald': 4, 'Garnet Red': 5, 'Jasper': 6, 'Moonstone': 7, 'Opal': 8, 'Rhodolite': 9, 'Spodumene': 10, 'Tanzanite': 11}
14:23:38 ====== Train the model using lr of 0.0001 and wd of 0 ======
14:23:39 Epoch 1/1000, train loss: 2.5297, train acc: 0.0951, val loss: 2.2612, val acc: 0.2642
14:23:40 Epoch 2/1000, train loss: 2.3388, train acc: 0.2575, val loss: 2.2413, val acc: 0.2453
14:23:41 Epoch 3/1000, train loss: 2.0741, train acc: 0.4014, val loss: 2.2546, val acc: 0.3019
14:23:41 Epoch 4/1000, train loss: 1.8885, train acc: 0.4316, val loss: 1.9704, val acc: 0.4340
14:23:42 Epoch 5/1000, train loss: 1.7073, train acc: 0.5012, val loss: 1.5949, val acc: 0.4906
14:23:43 Epoch 6/1000, train loss: 1.5537, train acc: 0.5731, val loss: 1.5752, val acc: 0.5283
14:23:44 Epoch 7/1000, train loss: 1.4183, train acc: 0.5986, val loss: 1.5707, val acc: 0.4717
14:23:45 Epoch 8/1000, train loss: 1.3213, train acc: 0.6381, val loss: 1.3776, val acc: 0.5849
14:23:46 Epoch 9/1000, train loss: 1.2439, train acc: 0.6659, val loss: 1.2546, val acc: 0.4528
14:23:47 Epoch 10/1000, train loss: 1.1609, train acc: 0.6682, val loss: 1.2658, val acc: 0.6038
14:23:47 Epoch 11/1000, train loss: 1.0856, train acc: 0.6845, val loss: 1.3564, val acc: 0.5094
14:23:48 Epoch 12/1000, train loss: 1.0438, train acc: 0.6845, val loss: 0.9748, val acc: 0.4906
14:23:49 Epoch 13/1000, train loss: 0.9881, train acc: 0.7077, val loss: 1.0745, val acc: 0.5472
14:23:50 Epoch 14/1000, train loss: 0.9334, train acc: 0.7517, val loss: 1.1146, val acc: 0.6038
14:23:51 Epoch 15/1000, train loss: 0.8915, train acc: 0.7355, val loss: 0.9309, val acc: 0.5849
14:23:52 Epoch 16/1000, train loss: 0.8586, train acc: 0.7425, val loss: 0.9601, val acc: 0.6792
14:23:52 Epoch 17/1000, train loss: 0.8183, train acc: 0.7587, val loss: 0.9139, val acc: 0.6604
14:23:53 Epoch 18/1000, train loss: 0.7752, train acc: 0.8005, val loss: 0.9593, val acc: 0.6604
14:23:54 Epoch 19/1000, train loss: 0.7499, train acc: 0.7958, val loss: 0.8461, val acc: 0.6226
14:23:55 Epoch 20/1000, train loss: 0.7317, train acc: 0.8005, val loss: 0.8467, val acc: 0.6792
14:23:56 Epoch 21/1000, train loss: 0.6845, train acc: 0.8121, val loss: 0.9737, val acc: 0.6226
