14:40:04 Started training model FirstModel with timestamp 1688215204958008800 using the following parameters:
class_count=12
epoch_count=1000
batch_size=50
learning_rate=0.0001
weight_decay=0.0001
cuda=True
resize_size=100
use_crop=False
crop_size=250
cross_validation=False
validation_split_percentage=40
validation_epochs=20
validation_accuracy_check=10
validation_grid=None
print_to_file=True

14:40:04 Key for the classes:
{'Aquamarine': 0, 'Beryl Golden': 1, 'Bixbite': 2, 'Chrysocolla': 3, 'Emerald': 4, 'Garnet Red': 5, 'Jasper': 6, 'Moonstone': 7, 'Opal': 8, 'Rhodolite': 9, 'Spodumene': 10, 'Tanzanite': 11}
14:40:05 ====== Train the model using lr of 0.0001 and wd of 0.0001 ======
14:40:06 Epoch 1/1000, train loss: 2.4442, train acc: 0.1160, val loss: 2.3414, val acc: 0.2075
14:40:06 Epoch 2/1000, train loss: 2.2166, train acc: 0.2320, val loss: 2.0115, val acc: 0.3019
14:40:07 Epoch 3/1000, train loss: 1.9913, train acc: 0.3573, val loss: 1.9080, val acc: 0.3396
14:40:08 Epoch 4/1000, train loss: 1.7855, train acc: 0.4432, val loss: 1.8090, val acc: 0.4906
14:40:09 Epoch 5/1000, train loss: 1.5957, train acc: 0.4919, val loss: 1.7152, val acc: 0.4717
14:40:10 Epoch 6/1000, train loss: 1.4582, train acc: 0.5824, val loss: 1.5908, val acc: 0.4717
14:40:11 Epoch 7/1000, train loss: 1.3542, train acc: 0.6125, val loss: 1.6832, val acc: 0.4528
14:40:12 Epoch 8/1000, train loss: 1.2712, train acc: 0.6265, val loss: 1.2744, val acc: 0.4906
14:40:12 Epoch 9/1000, train loss: 1.1922, train acc: 0.6450, val loss: 1.3473, val acc: 0.5094
14:40:13 Epoch 10/1000, train loss: 1.1060, train acc: 0.6914, val loss: 1.2927, val acc: 0.5283
14:40:14 Epoch 11/1000, train loss: 1.0455, train acc: 0.7100, val loss: 1.2095, val acc: 0.5660
14:40:15 Epoch 12/1000, train loss: 0.9868, train acc: 0.7332, val loss: 0.9982, val acc: 0.5283
14:40:16 Epoch 13/1000, train loss: 0.9422, train acc: 0.7355, val loss: 1.0388, val acc: 0.5660
14:40:17 Epoch 14/1000, train loss: 0.8693, train acc: 0.7865, val loss: 1.1189, val acc: 0.6604
14:40:18 Epoch 15/1000, train loss: 0.8189, train acc: 0.7912, val loss: 1.1154, val acc: 0.6226
14:40:19 Epoch 16/1000, train loss: 0.7960, train acc: 0.7935, val loss: 1.0096, val acc: 0.6604
14:40:20 Epoch 17/1000, train loss: 0.7496, train acc: 0.8028, val loss: 0.8808, val acc: 0.6226
14:40:21 Epoch 18/1000, train loss: 0.7354, train acc: 0.8097, val loss: 0.8434, val acc: 0.6981
14:40:21 Epoch 19/1000, train loss: 0.6927, train acc: 0.8167, val loss: 0.8385, val acc: 0.6415
14:40:22 Epoch 20/1000, train loss: 0.6892, train acc: 0.8051, val loss: 0.7453, val acc: 0.6792
14:40:23 Epoch 21/1000, train loss: 0.6683, train acc: 0.8167, val loss: 1.0205, val acc: 0.6792
14:40:24 Epoch 22/1000, train loss: 0.6530, train acc: 0.8144, val loss: 0.8515, val acc: 0.7170
14:40:25 Epoch 23/1000, train loss: 0.6004, train acc: 0.8260, val loss: 0.7908, val acc: 0.6604
14:40:26 Epoch 24/1000, train loss: 0.5870, train acc: 0.8399, val loss: 0.7565, val acc: 0.7358
14:40:27 Epoch 25/1000, train loss: 0.5918, train acc: 0.8515, val loss: 0.8597, val acc: 0.6604
14:40:28 Epoch 26/1000, train loss: 0.5847, train acc: 0.8422, val loss: 0.7859, val acc: 0.6604
14:40:28 Epoch 27/1000, train loss: 0.5408, train acc: 0.8631, val loss: 0.8830, val acc: 0.6604
14:40:29 Epoch 28/1000, train loss: 0.5299, train acc: 0.8608, val loss: 0.7849, val acc: 0.6981
14:40:30 Epoch 29/1000, train loss: 0.4925, train acc: 0.8747, val loss: 0.6858, val acc: 0.6792
14:40:31 Epoch 30/1000, train loss: 0.4851, train acc: 0.8794, val loss: 0.7395, val acc: 0.6415
14:40:32 Epoch 31/1000, train loss: 0.4550, train acc: 0.8863, val loss: 0.8076, val acc: 0.6981
14:40:33 Epoch 32/1000, train loss: 0.4445, train acc: 0.8910, val loss: 0.7487, val acc: 0.6604
14:40:34 Epoch 33/1000, train loss: 0.4145, train acc: 0.9095, val loss: 0.6419, val acc: 0.7358
14:40:34 Epoch 34/1000, train loss: 0.4130, train acc: 0.9026, val loss: 0.6370, val acc: 0.6792
14:40:35 Epoch 35/1000, train loss: 0.4048, train acc: 0.8886, val loss: 0.7468, val acc: 0.6792
14:40:36 Epoch 36/1000, train loss: 0.4027, train acc: 0.8956, val loss: 0.7715, val acc: 0.7358
14:40:37 Epoch 37/1000, train loss: 0.3916, train acc: 0.8979, val loss: 0.7515, val acc: 0.6604
14:40:38 Epoch 38/1000, train loss: 0.4097, train acc: 0.8794, val loss: 0.7463, val acc: 0.6604
14:40:39 Epoch 39/1000, train loss: 0.3753, train acc: 0.9072, val loss: 0.6573, val acc: 0.6792
14:40:40 Epoch 40/1000, train loss: 0.3654, train acc: 0.8933, val loss: 0.7311, val acc: 0.7170
14:40:40 Epoch 41/1000, train loss: 0.3621, train acc: 0.8956, val loss: 0.6821, val acc: 0.6792
14:40:41 Epoch 42/1000, train loss: 0.3465, train acc: 0.9142, val loss: 0.6607, val acc: 0.6981
14:40:42 Epoch 43/1000, train loss: 0.3241, train acc: 0.9211, val loss: 0.7006, val acc: 0.6792
14:40:43 Epoch 44/1000, train loss: 0.3248, train acc: 0.9304, val loss: 0.7582, val acc: 0.6792
14:40:44 Epoch 45/1000, train loss: 0.3183, train acc: 0.9281, val loss: 0.6567, val acc: 0.6981
14:40:45 Epoch 46/1000, train loss: 0.2966, train acc: 0.9327, val loss: 0.7819, val acc: 0.7170
14:40:46 Epoch 47/1000, train loss: 0.3000, train acc: 0.9095, val loss: 0.7290, val acc: 0.6981
14:40:46 Epoch 48/1000, train loss: 0.2919, train acc: 0.9350, val loss: 0.6760, val acc: 0.6792
14:40:47 Epoch 49/1000, train loss: 0.2997, train acc: 0.9142, val loss: 0.6581, val acc: 0.6981
14:40:48 Epoch 50/1000, train loss: 0.3230, train acc: 0.9095, val loss: 0.7262, val acc: 0.7170
14:40:49 Epoch 51/1000, train loss: 0.3049, train acc: 0.9211, val loss: 0.8348, val acc: 0.7170
14:40:50 Epoch 52/1000, train loss: 0.3407, train acc: 0.9026, val loss: 0.7627, val acc: 0.5660
14:40:51 Epoch 53/1000, train loss: 0.3029, train acc: 0.9002, val loss: 0.7028, val acc: 0.6792
14:40:52 Epoch 54/1000, train loss: 0.2618, train acc: 0.9327, val loss: 0.6583, val acc: 0.7170
14:40:52 Epoch 55/1000, train loss: 0.2302, train acc: 0.9582, val loss: 0.6661, val acc: 0.6792
14:40:53 Epoch 56/1000, train loss: 0.2154, train acc: 0.9675, val loss: 0.6390, val acc: 0.7170
14:40:54 Epoch 57/1000, train loss: 0.2139, train acc: 0.9768, val loss: 0.6029, val acc: 0.6792
14:40:55 Epoch 58/1000, train loss: 0.2089, train acc: 0.9675, val loss: 0.6902, val acc: 0.6981
14:40:56 Epoch 59/1000, train loss: 0.2143, train acc: 0.9582, val loss: 0.6087, val acc: 0.6792
14:40:57 Epoch 60/1000, train loss: 0.2238, train acc: 0.9513, val loss: 0.5819, val acc: 0.6981
14:40:57 Epoch 61/1000, train loss: 0.2037, train acc: 0.9698, val loss: 0.8307, val acc: 0.6792
14:40:58 Epoch 62/1000, train loss: 0.2041, train acc: 0.9675, val loss: 0.5996, val acc: 0.7170
14:40:59 Epoch 63/1000, train loss: 0.1931, train acc: 0.9629, val loss: 0.6665, val acc: 0.7170
14:41:00 Epoch 64/1000, train loss: 0.2025, train acc: 0.9606, val loss: 0.6597, val acc: 0.6792
14:41:01 Epoch 65/1000, train loss: 0.1927, train acc: 0.9490, val loss: 0.7218, val acc: 0.7170
14:41:02 Epoch 66/1000, train loss: 0.2041, train acc: 0.9536, val loss: 0.7171, val acc: 0.6792
14:41:02 Epoch 67/1000, train loss: 0.2077, train acc: 0.9536, val loss: 0.6785, val acc: 0.6981
14:41:03 Epoch 68/1000, train loss: 0.1956, train acc: 0.9606, val loss: 0.6123, val acc: 0.6604
14:41:04 Epoch 69/1000, train loss: 0.1898, train acc: 0.9652, val loss: 0.6891, val acc: 0.7170
14:41:05 Epoch 70/1000, train loss: 0.1746, train acc: 0.9722, val loss: 0.6534, val acc: 0.6981
14:41:06 Epoch 71/1000, train loss: 0.1998, train acc: 0.9675, val loss: 0.7066, val acc: 0.6981
14:41:07 Epoch 72/1000, train loss: 0.2016, train acc: 0.9513, val loss: 0.6133, val acc: 0.7358
14:41:08 Epoch 73/1000, train loss: 0.1738, train acc: 0.9652, val loss: 0.5990, val acc: 0.7358
14:41:08 Epoch 74/1000, train loss: 0.1640, train acc: 0.9698, val loss: 0.6830, val acc: 0.6981
14:41:09 Epoch 75/1000, train loss: 0.1630, train acc: 0.9745, val loss: 0.6339, val acc: 0.6981
14:41:10 Epoch 76/1000, train loss: 0.1437, train acc: 0.9768, val loss: 0.7159, val acc: 0.6981
14:41:11 Epoch 77/1000, train loss: 0.1435, train acc: 0.9768, val loss: 0.6274, val acc: 0.7358
14:41:12 Epoch 78/1000, train loss: 0.1422, train acc: 0.9791, val loss: 0.7450, val acc: 0.7170
14:41:13 Epoch 79/1000, train loss: 0.1365, train acc: 0.9768, val loss: 0.6330, val acc: 0.6981
14:41:13 Epoch 80/1000, train loss: 0.1340, train acc: 0.9861, val loss: 0.6577, val acc: 0.7170
14:41:14 Epoch 81/1000, train loss: 0.1203, train acc: 0.9884, val loss: 0.6478, val acc: 0.6981
14:41:15 Epoch 82/1000, train loss: 0.1142, train acc: 0.9977, val loss: 0.6965, val acc: 0.6981
14:41:16 Epoch 83/1000, train loss: 0.1286, train acc: 0.9861, val loss: 0.7080, val acc: 0.7170
14:41:17 Epoch 84/1000, train loss: 0.1166, train acc: 0.9884, val loss: 0.5438, val acc: 0.7358
14:41:18 Epoch 85/1000, train loss: 0.1263, train acc: 0.9791, val loss: 0.9427, val acc: 0.6981
14:41:19 Epoch 86/1000, train loss: 0.1242, train acc: 0.9814, val loss: 0.6606, val acc: 0.6981
14:41:19 Epoch 87/1000, train loss: 0.1239, train acc: 0.9838, val loss: 0.5871, val acc: 0.7170
14:41:20 Epoch 88/1000, train loss: 0.1177, train acc: 0.9861, val loss: 0.7360, val acc: 0.7170
14:41:21 Epoch 89/1000, train loss: 0.1128, train acc: 0.9861, val loss: 0.6040, val acc: 0.7170
14:41:22 Epoch 90/1000, train loss: 0.1053, train acc: 0.9907, val loss: 0.6844, val acc: 0.6981
14:41:23 Epoch 91/1000, train loss: 0.1100, train acc: 0.9884, val loss: 0.6664, val acc: 0.7358
14:41:24 Epoch 92/1000, train loss: 0.1053, train acc: 0.9861, val loss: 0.6661, val acc: 0.6981
14:41:24 Epoch 93/1000, train loss: 0.0957, train acc: 0.9907, val loss: 0.6735, val acc: 0.7547
14:41:25 Epoch 94/1000, train loss: 0.0974, train acc: 0.9838, val loss: 0.6507, val acc: 0.7170
14:41:26 Epoch 95/1000, train loss: 0.1067, train acc: 0.9814, val loss: 0.6211, val acc: 0.7170
14:41:27 Epoch 96/1000, train loss: 0.0976, train acc: 0.9884, val loss: 0.6929, val acc: 0.7170
14:41:28 Epoch 97/1000, train loss: 0.0846, train acc: 0.9954, val loss: 0.6232, val acc: 0.7170
14:41:29 Epoch 98/1000, train loss: 0.0793, train acc: 0.9954, val loss: 0.7527, val acc: 0.7358
14:41:30 Epoch 99/1000, train loss: 0.0780, train acc: 1.0000, val loss: 0.6254, val acc: 0.7358
14:41:30 Epoch 100/1000, train loss: 0.0755, train acc: 0.9907, val loss: 0.6414, val acc: 0.7547
14:41:31 Epoch 101/1000, train loss: 0.0721, train acc: 0.9977, val loss: 0.7261, val acc: 0.6981
14:41:32 Epoch 102/1000, train loss: 0.0785, train acc: 0.9930, val loss: 0.6442, val acc: 0.7170
14:41:33 Epoch 103/1000, train loss: 0.1068, train acc: 0.9675, val loss: 0.5862, val acc: 0.7358
14:41:34 Epoch 104/1000, train loss: 0.1297, train acc: 0.9582, val loss: 0.7291, val acc: 0.7170
14:41:35 Epoch 105/1000, train loss: 0.1112, train acc: 0.9745, val loss: 0.7525, val acc: 0.6792
14:41:35 Epoch 106/1000, train loss: 0.0919, train acc: 0.9930, val loss: 0.6933, val acc: 0.6981
14:41:36 Epoch 107/1000, train loss: 0.0761, train acc: 0.9930, val loss: 0.6368, val acc: 0.7547
14:41:37 Epoch 108/1000, train loss: 0.0629, train acc: 1.0000, val loss: 0.6682, val acc: 0.7170
14:41:38 Epoch 109/1000, train loss: 0.0631, train acc: 1.0000, val loss: 0.6530, val acc: 0.7547
14:41:39 Epoch 110/1000, train loss: 0.0606, train acc: 1.0000, val loss: 0.6530, val acc: 0.7170
14:41:40 Epoch 111/1000, train loss: 0.0664, train acc: 0.9977, val loss: 0.7068, val acc: 0.6981
14:41:41 Epoch 112/1000, train loss: 0.0722, train acc: 0.9954, val loss: 0.6097, val acc: 0.7358
14:41:41 Epoch 113/1000, train loss: 0.0623, train acc: 0.9954, val loss: 0.7463, val acc: 0.6792
14:41:42 Epoch 114/1000, train loss: 0.0545, train acc: 1.0000, val loss: 0.6453, val acc: 0.7358
14:41:43 Epoch 115/1000, train loss: 0.0571, train acc: 1.0000, val loss: 0.7208, val acc: 0.7547
14:41:44 Epoch 116/1000, train loss: 0.0564, train acc: 0.9977, val loss: 0.6766, val acc: 0.7170
14:41:45 Epoch 117/1000, train loss: 0.0541, train acc: 1.0000, val loss: 0.6844, val acc: 0.7170
14:41:46 Epoch 118/1000, train loss: 0.0559, train acc: 0.9977, val loss: 0.7200, val acc: 0.7358
14:41:46 Epoch 119/1000, train loss: 0.0528, train acc: 1.0000, val loss: 0.6762, val acc: 0.7547
14:41:47 Epoch 120/1000, train loss: 0.0549, train acc: 1.0000, val loss: 0.7258, val acc: 0.7358
14:41:48 Epoch 121/1000, train loss: 0.0483, train acc: 1.0000, val loss: 0.6167, val acc: 0.7358
14:41:49 Epoch 122/1000, train loss: 0.0488, train acc: 1.0000, val loss: 0.7134, val acc: 0.7170
14:41:50 Epoch 123/1000, train loss: 0.0486, train acc: 0.9977, val loss: 0.7227, val acc: 0.7358
14:41:51 Epoch 124/1000, train loss: 0.0515, train acc: 0.9977, val loss: 0.6156, val acc: 0.7547
14:41:51 Epoch 125/1000, train loss: 0.0438, train acc: 1.0000, val loss: 0.7227, val acc: 0.7170
14:41:52 Epoch 126/1000, train loss: 0.0476, train acc: 0.9977, val loss: 0.7284, val acc: 0.7358
14:41:53 Epoch 127/1000, train loss: 0.0427, train acc: 1.0000, val loss: 0.6344, val acc: 0.7736
14:41:54 Epoch 128/1000, train loss: 0.0487, train acc: 0.9977, val loss: 0.7882, val acc: 0.7358
14:41:55 Epoch 129/1000, train loss: 0.0717, train acc: 0.9861, val loss: 0.6816, val acc: 0.7170
14:41:56 Epoch 130/1000, train loss: 0.0923, train acc: 0.9768, val loss: 0.6430, val acc: 0.6792
14:41:57 Epoch 131/1000, train loss: 0.0748, train acc: 0.9884, val loss: 0.7526, val acc: 0.7358
14:41:57 Epoch 132/1000, train loss: 0.0481, train acc: 0.9954, val loss: 0.7263, val acc: 0.7358
14:41:58 Epoch 133/1000, train loss: 0.0558, train acc: 0.9954, val loss: 0.6488, val acc: 0.7358
14:41:59 Epoch 134/1000, train loss: 0.0428, train acc: 1.0000, val loss: 0.7827, val acc: 0.6981
14:42:00 Epoch 135/1000, train loss: 0.0493, train acc: 0.9954, val loss: 0.6599, val acc: 0.7358
14:42:01 Epoch 136/1000, train loss: 0.0474, train acc: 0.9977, val loss: 0.6307, val acc: 0.7358
14:42:02 Epoch 137/1000, train loss: 0.0445, train acc: 0.9954, val loss: 0.7921, val acc: 0.7170
14:42:02 Epoch 138/1000, train loss: 0.0403, train acc: 1.0000, val loss: 0.6826, val acc: 0.7358
14:42:03 Epoch 139/1000, train loss: 0.0376, train acc: 1.0000, val loss: 0.7215, val acc: 0.7170
14:42:04 Epoch 140/1000, train loss: 0.0366, train acc: 1.0000, val loss: 0.7008, val acc: 0.7547
14:42:05 Epoch 141/1000, train loss: 0.0381, train acc: 1.0000, val loss: 0.6778, val acc: 0.7170
14:42:06 Epoch 142/1000, train loss: 0.0347, train acc: 1.0000, val loss: 0.7201, val acc: 0.7170
14:42:07 Epoch 143/1000, train loss: 0.0321, train acc: 1.0000, val loss: 0.6748, val acc: 0.7170
14:42:07 Epoch 144/1000, train loss: 0.0306, train acc: 1.0000, val loss: 0.7046, val acc: 0.7170
14:42:08 Epoch 145/1000, train loss: 0.0312, train acc: 1.0000, val loss: 0.6608, val acc: 0.7170
14:42:09 Epoch 146/1000, train loss: 0.0305, train acc: 1.0000, val loss: 0.7634, val acc: 0.7170
14:42:10 Epoch 147/1000, train loss: 0.0303, train acc: 1.0000, val loss: 0.6748, val acc: 0.7358
14:42:11 Epoch 148/1000, train loss: 0.0273, train acc: 1.0000, val loss: 0.6961, val acc: 0.7358
14:42:12 Epoch 149/1000, train loss: 0.0288, train acc: 1.0000, val loss: 0.7156, val acc: 0.7358
14:42:13 Epoch 150/1000, train loss: 0.0268, train acc: 1.0000, val loss: 0.7026, val acc: 0.7170
