16:25:46 Started training model FirstModel with timestamp 1688221546758140300 using the following parameters:
class_count=12
epoch_count=100
batch_size=50
learning_rate=0.0001
weight_decay=0.0001
cuda=True
resize_size=150
use_crop=False
crop_size=250
cross_validation=True
validation_split_percentage=40
validation_epochs=30
validation_accuracy_check=10
validation_grid={'lr': [0.001, 0.0001, 5e-05, 1e-05, 1e-06], 'wd': [0.1, 0.01, 0.001, 0.0001, 1e-05]}
print_to_file=True

16:25:46 Key for the classes:
{'Aquamarine': 0, 'Beryl Golden': 1, 'Bixbite': 2, 'Chrysocolla': 3, 'Emerald': 4, 'Garnet Red': 5, 'Jasper': 6, 'Moonstone': 7, 'Opal': 8, 'Rhodolite': 9, 'Spodumene': 10, 'Tanzanite': 11}
16:25:47 ============ CV run for lr 0.001 and wd 0.1 ============
16:25:48 Epoch 1/30, train loss: 11.8353, train acc: 0.0814, val loss: 14.6666, val acc: 0.1081
16:25:49 Epoch 2/30, train loss: 18.2777, train acc: 0.0698, val loss: 18.0932, val acc: 0.0965
16:25:50 Epoch 3/30, train loss: 16.1762, train acc: 0.0988, val loss: 10.0539, val acc: 0.0811
16:25:51 Epoch 4/30, train loss: 7.2131, train acc: 0.1047, val loss: 6.9341, val acc: 0.1351
16:25:52 Epoch 5/30, train loss: 6.0476, train acc: 0.1686, val loss: 4.1414, val acc: 0.2085
16:25:53 Epoch 6/30, train loss: 3.4625, train acc: 0.1919, val loss: 3.3652, val acc: 0.1737
16:25:54 Epoch 7/30, train loss: 3.0194, train acc: 0.2326, val loss: 2.9674, val acc: 0.2008
16:25:55 Epoch 8/30, train loss: 2.5482, train acc: 0.2558, val loss: 2.2884, val acc: 0.1660
16:25:56 Epoch 9/30, train loss: 1.9025, train acc: 0.3140, val loss: 2.1422, val acc: 0.2587
16:25:57 Epoch 10/30, train loss: 1.9241, train acc: 0.3547, val loss: 2.0880, val acc: 0.2587
16:25:58 Epoch 11/30, train loss: 1.8869, train acc: 0.3895, val loss: 1.9795, val acc: 0.3166
16:25:59 Epoch 12/30, train loss: 1.8328, train acc: 0.3895, val loss: 2.0866, val acc: 0.3552
16:25:59 Epoch 13/30, train loss: 1.7988, train acc: 0.4419, val loss: 2.0168, val acc: 0.2741
16:26:00 Epoch 14/30, train loss: 1.6871, train acc: 0.4186, val loss: 2.0865, val acc: 0.2973
16:26:01 Epoch 15/30, train loss: 1.8714, train acc: 0.3023, val loss: 2.0045, val acc: 0.4324
16:26:02 Epoch 16/30, train loss: 1.7653, train acc: 0.4128, val loss: 1.9607, val acc: 0.2548
16:26:03 Epoch 17/30, train loss: 1.6705, train acc: 0.4651, val loss: 1.8283, val acc: 0.3398
16:26:04 Epoch 18/30, train loss: 1.5913, train acc: 0.4128, val loss: 1.8105, val acc: 0.4015
16:26:05 Epoch 19/30, train loss: 1.4994, train acc: 0.4419, val loss: 2.0009, val acc: 0.2973
16:26:06 Epoch 20/30, train loss: 1.7206, train acc: 0.4244, val loss: 1.7288, val acc: 0.4208
16:26:07 Epoch 21/30, train loss: 1.6640, train acc: 0.4360, val loss: 1.6390, val acc: 0.4440
16:26:08 Epoch 22/30, train loss: 1.6926, train acc: 0.4070, val loss: 1.7600, val acc: 0.4286
16:26:09 Epoch 23/30, train loss: 1.4387, train acc: 0.5233, val loss: 1.7033, val acc: 0.4363
16:26:10 Epoch 24/30, train loss: 1.5027, train acc: 0.5058, val loss: 1.8147, val acc: 0.3707
16:26:11 Epoch 25/30, train loss: 1.4444, train acc: 0.4942, val loss: 1.7003, val acc: 0.4556
16:26:12 Epoch 26/30, train loss: 1.3385, train acc: 0.5581, val loss: 1.5875, val acc: 0.4247
16:26:13 Epoch 27/30, train loss: 1.5139, train acc: 0.4767, val loss: 1.7693, val acc: 0.4093
16:26:14 Epoch 28/30, train loss: 1.6209, train acc: 0.4302, val loss: 1.9860, val acc: 0.4131
16:26:15 Epoch 29/30, train loss: 1.5100, train acc: 0.4826, val loss: 1.7636, val acc: 0.4131
16:26:16 Epoch 30/30, train loss: 1.5644, train acc: 0.4942, val loss: 1.9736, val acc: 0.2973
16:26:16 Mean validation accuracy: 0.4092664092664092

16:26:16 ============ CV run for lr 0.001 and wd 0.01 ============
16:26:17 Epoch 1/30, train loss: 12.6693, train acc: 0.1163, val loss: 13.3720, val acc: 0.0772
16:26:18 Epoch 2/30, train loss: 15.5934, train acc: 0.1221, val loss: 16.8936, val acc: 0.0927
16:26:19 Epoch 3/30, train loss: 14.6421, train acc: 0.1105, val loss: 11.3212, val acc: 0.0734
16:26:20 Epoch 4/30, train loss: 7.3040, train acc: 0.1105, val loss: 4.3508, val acc: 0.1042
16:26:21 Epoch 5/30, train loss: 3.8760, train acc: 0.1221, val loss: 3.3644, val acc: 0.1776
16:26:22 Epoch 6/30, train loss: 2.9377, train acc: 0.2267, val loss: 2.1919, val acc: 0.2741
16:26:23 Epoch 7/30, train loss: 2.1906, train acc: 0.3198, val loss: 2.3354, val acc: 0.2587
16:26:24 Epoch 8/30, train loss: 1.8041, train acc: 0.3779, val loss: 2.0197, val acc: 0.2819
16:26:24 Epoch 9/30, train loss: 1.7945, train acc: 0.3953, val loss: 1.8010, val acc: 0.3938
16:26:25 Epoch 10/30, train loss: 1.5814, train acc: 0.4070, val loss: 1.9422, val acc: 0.4015
16:26:26 Epoch 11/30, train loss: 1.4755, train acc: 0.5581, val loss: 1.8296, val acc: 0.3359
16:26:27 Epoch 12/30, train loss: 1.5024, train acc: 0.4535, val loss: 1.7150, val acc: 0.4247
16:26:28 Epoch 13/30, train loss: 1.2423, train acc: 0.5116, val loss: 1.6759, val acc: 0.4093
16:26:29 Epoch 14/30, train loss: 1.2573, train acc: 0.5523, val loss: 1.5225, val acc: 0.5560
16:26:30 Epoch 15/30, train loss: 1.1677, train acc: 0.5465, val loss: 1.7619, val acc: 0.3668
16:26:31 Epoch 16/30, train loss: 1.1724, train acc: 0.6105, val loss: 1.5968, val acc: 0.5483
16:26:32 Epoch 17/30, train loss: 0.9771, train acc: 0.7209, val loss: 1.5647, val acc: 0.4131
16:26:33 Epoch 18/30, train loss: 0.9702, train acc: 0.6512, val loss: 1.3656, val acc: 0.5483
16:26:34 Epoch 19/30, train loss: 0.9626, train acc: 0.6919, val loss: 1.2016, val acc: 0.5560
16:26:35 Epoch 20/30, train loss: 0.8592, train acc: 0.7267, val loss: 1.2389, val acc: 0.5907
16:26:36 Epoch 21/30, train loss: 0.7891, train acc: 0.7558, val loss: 1.2714, val acc: 0.6332
16:26:37 Epoch 22/30, train loss: 0.7649, train acc: 0.8140, val loss: 1.0743, val acc: 0.6409
16:26:38 Epoch 23/30, train loss: 0.7737, train acc: 0.7558, val loss: 1.3585, val acc: 0.5212
16:26:39 Epoch 24/30, train loss: 0.7026, train acc: 0.7442, val loss: 1.3824, val acc: 0.4865
16:26:40 Epoch 25/30, train loss: 0.9525, train acc: 0.6802, val loss: 1.2963, val acc: 0.5830
16:26:41 Epoch 26/30, train loss: 0.8139, train acc: 0.6860, val loss: 1.1579, val acc: 0.5405
16:26:42 Epoch 27/30, train loss: 0.7284, train acc: 0.7384, val loss: 1.1837, val acc: 0.5985
16:26:43 Epoch 28/30, train loss: 0.6213, train acc: 0.8314, val loss: 1.1128, val acc: 0.5676
16:26:44 Epoch 29/30, train loss: 0.6448, train acc: 0.7907, val loss: 0.9750, val acc: 0.6486
16:26:44 Epoch 30/30, train loss: 0.5572, train acc: 0.8314, val loss: 1.2543, val acc: 0.6062
16:26:44 Mean validation accuracy: 0.5826254826254826

16:26:45 ============ CV run for lr 0.001 and wd 0.001 ============
16:26:46 Epoch 1/30, train loss: 13.8428, train acc: 0.0872, val loss: 26.0828, val acc: 0.0965
16:26:47 Epoch 2/30, train loss: 24.7623, train acc: 0.1744, val loss: 23.7139, val acc: 0.1467
16:26:48 Epoch 3/30, train loss: 19.1909, train acc: 0.1279, val loss: 14.5215, val acc: 0.0734
16:26:48 Epoch 4/30, train loss: 10.7086, train acc: 0.0872, val loss: 6.3214, val acc: 0.1274
16:26:49 Epoch 5/30, train loss: 5.8333, train acc: 0.1395, val loss: 5.5174, val acc: 0.0927
16:26:50 Epoch 6/30, train loss: 4.0477, train acc: 0.1221, val loss: 3.7567, val acc: 0.1274
16:26:51 Epoch 7/30, train loss: 3.0059, train acc: 0.2326, val loss: 2.7534, val acc: 0.2239
16:26:52 Epoch 8/30, train loss: 2.5339, train acc: 0.1512, val loss: 2.3677, val acc: 0.1236
16:26:53 Epoch 9/30, train loss: 2.1675, train acc: 0.2267, val loss: 1.9634, val acc: 0.3629
16:26:54 Epoch 10/30, train loss: 1.7795, train acc: 0.4360, val loss: 1.8835, val acc: 0.3745
16:26:55 Epoch 11/30, train loss: 1.6140, train acc: 0.5116, val loss: 1.7153, val acc: 0.4170
16:26:56 Epoch 12/30, train loss: 1.4676, train acc: 0.4826, val loss: 1.5936, val acc: 0.5174
16:26:57 Epoch 13/30, train loss: 1.2995, train acc: 0.6279, val loss: 1.5472, val acc: 0.4865
16:26:58 Epoch 14/30, train loss: 1.2605, train acc: 0.5930, val loss: 1.6256, val acc: 0.4865
16:26:59 Epoch 15/30, train loss: 1.2055, train acc: 0.6105, val loss: 1.5898, val acc: 0.4479
16:27:00 Epoch 16/30, train loss: 1.1913, train acc: 0.6047, val loss: 1.4615, val acc: 0.5792
16:27:01 Epoch 17/30, train loss: 1.1001, train acc: 0.6919, val loss: 1.4726, val acc: 0.5637
16:27:02 Epoch 18/30, train loss: 1.0446, train acc: 0.6919, val loss: 1.4011, val acc: 0.6100
16:27:03 Epoch 19/30, train loss: 0.9719, train acc: 0.7267, val loss: 1.3069, val acc: 0.5714
16:27:04 Epoch 20/30, train loss: 0.9500, train acc: 0.7442, val loss: 1.2036, val acc: 0.6255
16:27:05 Epoch 21/30, train loss: 0.8772, train acc: 0.7907, val loss: 1.4552, val acc: 0.5753
16:27:06 Epoch 22/30, train loss: 0.8756, train acc: 0.6802, val loss: 1.2331, val acc: 0.6293
16:27:07 Epoch 23/30, train loss: 0.8268, train acc: 0.7674, val loss: 1.3296, val acc: 0.5367
16:27:08 Epoch 24/30, train loss: 0.8350, train acc: 0.7616, val loss: 1.2370, val acc: 0.6486
16:27:09 Epoch 25/30, train loss: 0.7215, train acc: 0.8140, val loss: 1.1911, val acc: 0.6371
16:27:10 Epoch 26/30, train loss: 0.6905, train acc: 0.8023, val loss: 1.0670, val acc: 0.6873
16:27:11 Epoch 27/30, train loss: 0.6222, train acc: 0.8721, val loss: 1.0561, val acc: 0.6602
16:27:12 Epoch 28/30, train loss: 0.6529, train acc: 0.8198, val loss: 1.0699, val acc: 0.6641
16:27:12 Epoch 29/30, train loss: 0.6780, train acc: 0.7500, val loss: 1.0974, val acc: 0.6332
16:27:13 Epoch 30/30, train loss: 0.6416, train acc: 0.8140, val loss: 1.0918, val acc: 0.6178
16:27:13 Mean validation accuracy: 0.6289575289575289

