
05:55:50 Started training model SecondModel with timestamp 1688270150238102100 using the following parameters:
class_count=87
epoch_count=100
batch_size=50
learning_rate=0.0001
weight_decay=0.0001
cuda=False
resize_size=300
use_crop=True
crop_size=250
cross_validation=True
validation_split_percentage=40
validation_epochs=30
validation_accuracy_check=10
validation_grid={'lr': [0.001, 0.0001, 5e-05, 1e-05, 1e-06], 'wd': [0.1, 0.01, 0.001, 0.0001, 1e-05]}
print_to_file=True

05:55:50 Key for the classes:
{'Alexandrite': 0, 'Almandine': 1, 'Amazonite': 2, 'Amber': 3, 'Amethyst': 4, 'Ametrine': 5, 'Andalusite': 6, 'Andradite': 7, 'Aquamarine': 8, 'Aventurine Green': 9, 'Aventurine Yellow': 10, 'Benitoite': 11, 'Beryl Golden': 12, 'Bixbite': 13, 'Bloodstone': 14, 'Blue Lace Agate': 15, 'Carnelian': 16, 'Cats Eye': 17, 'Chalcedony': 18, 'Chalcedony Blue': 19, 'Chrome Diopside': 20, 'Chrysoberyl': 21, 'Chrysocolla': 22, 'Chrysoprase': 23, 'Citrine': 24, 'Coral': 25, 'Danburite': 26, 'Diamond': 27, 'Diaspore': 28, 'Dumortierite': 29, 'Emerald': 30, 'Fluorite': 31, 'Garnet Red': 32, 'Goshenite': 33, 'Grossular': 34, 'Hessonite': 35, 'Hiddenite': 36, 'Iolite': 37, 'Jade': 38, 'Jasper': 39, 'Kunzite': 40, 'Kyanite': 41, 'Labradorite': 42, 'Lapis Lazuli': 43, 'Larimar': 44, 'Malachite': 45, 'Moonstone': 46, 'Morganite': 47, 'Onyx Black': 48, 'Onyx Green': 49, 'Onyx Red': 50, 'Opal': 51, 'Pearl': 52, 'Peridot': 53, 'Prehnite': 54, 'Pyrite': 55, 'Pyrope': 56, 'Quartz Beer': 57, 'Quartz Lemon': 58, 'Quartz Rose': 59, 'Quartz Rutilated': 60, 'Quartz Smoky': 61, 'Rhodochrosite': 62, 'Rhodolite': 63, 'Rhodonite': 64, 'Ruby': 65, 'Sapphire Blue': 66, 'Sapphire Pink': 67, 'Sapphire Purple': 68, 'Sapphire Yellow': 69, 'Scapolite': 70, 'Serpentine': 71, 'Sodalite': 72, 'Spessartite': 73, 'Sphene': 74, 'Spinel': 75, 'Spodumene': 76, 'Sunstone': 77, 'Tanzanite': 78, 'Tigers Eye': 79, 'Topaz': 80, 'Tourmaline': 81, 'Tsavorite': 82, 'Turquoise': 83, 'Variscite': 84, 'Zircon': 85, 'Zoisite': 86}
05:55:51 ============ CV run for lr 0.001 and wd 0.1 ============
05:57:05 Epoch 1/30, train loss: 12.4068, train acc: 0.0088, val loss: 5.0330, val acc: 0.0128
05:58:17 Epoch 2/30, train loss: 4.6267, train acc: 0.0149, val loss: 4.5275, val acc: 0.0082
05:59:30 Epoch 3/30, train loss: 4.5255, train acc: 0.0140, val loss: 4.4673, val acc: 0.0064
06:00:43 Epoch 4/30, train loss: 4.4692, train acc: 0.0114, val loss: 4.4759, val acc: 0.0111
06:01:55 Epoch 5/30, train loss: 4.4642, train acc: 0.0114, val loss: 4.4654, val acc: 0.0111
06:03:08 Epoch 6/30, train loss: 4.4499, train acc: 0.0149, val loss: 4.4679, val acc: 0.0111
06:04:21 Epoch 7/30, train loss: 4.4594, train acc: 0.0166, val loss: 4.5614, val acc: 0.0152
06:05:34 Epoch 8/30, train loss: 4.4603, train acc: 0.0105, val loss: 4.4713, val acc: 0.0123
06:06:47 Epoch 9/30, train loss: 4.4384, train acc: 0.0201, val loss: 4.4769, val acc: 0.0134
06:08:00 Epoch 10/30, train loss: 4.4515, train acc: 0.0210, val loss: 4.4769, val acc: 0.0140
06:09:13 Epoch 11/30, train loss: 4.4366, train acc: 0.0166, val loss: 4.4687, val acc: 0.0099
06:10:26 Epoch 12/30, train loss: 4.4330, train acc: 0.0210, val loss: 4.4549, val acc: 0.0064
06:11:39 Epoch 13/30, train loss: 4.4518, train acc: 0.0175, val loss: 4.4944, val acc: 0.0064
06:12:51 Epoch 14/30, train loss: 4.4269, train acc: 0.0271, val loss: 4.4646, val acc: 0.0152
06:14:05 Epoch 15/30, train loss: 4.4378, train acc: 0.0166, val loss: 4.4576, val acc: 0.0187
06:15:18 Epoch 16/30, train loss: 4.4179, train acc: 0.0228, val loss: 4.4466, val acc: 0.0169
06:16:31 Epoch 17/30, train loss: 4.4501, train acc: 0.0201, val loss: 4.4598, val acc: 0.0309
06:17:44 Epoch 18/30, train loss: 4.4167, train acc: 0.0289, val loss: 4.4477, val acc: 0.0198
06:18:57 Epoch 19/30, train loss: 4.4314, train acc: 0.0201, val loss: 4.4769, val acc: 0.0245
06:20:10 Epoch 20/30, train loss: 4.4307, train acc: 0.0201, val loss: 4.4640, val acc: 0.0105
06:21:23 Epoch 21/30, train loss: 4.4396, train acc: 0.0158, val loss: 4.4749, val acc: 0.0076
06:22:37 Epoch 22/30, train loss: 4.4190, train acc: 0.0166, val loss: 4.4386, val acc: 0.0163
06:23:50 Epoch 23/30, train loss: 4.4152, train acc: 0.0175, val loss: 4.4892, val acc: 0.0123
06:25:03 Epoch 24/30, train loss: 4.4436, train acc: 0.0289, val loss: 4.4430, val acc: 0.0298
06:26:16 Epoch 25/30, train loss: 4.4215, train acc: 0.0236, val loss: 4.4432, val acc: 0.0099
06:27:29 Epoch 26/30, train loss: 4.4489, train acc: 0.0175, val loss: 4.4620, val acc: 0.0152
06:28:42 Epoch 27/30, train loss: 4.4443, train acc: 0.0193, val loss: 4.4805, val acc: 0.0152
06:29:55 Epoch 28/30, train loss: 4.4417, train acc: 0.0149, val loss: 4.4626, val acc: 0.0146
06:31:08 Epoch 29/30, train loss: 4.4395, train acc: 0.0166, val loss: 4.4692, val acc: 0.0076
06:32:21 Epoch 30/30, train loss: 4.4415, train acc: 0.0210, val loss: 4.4646, val acc: 0.0146
06:32:21 Mean validation accuracy: 0.01429404900816803

06:32:23 ============ CV run for lr 0.001 and wd 0.01 ============
06:33:36 Epoch 1/30, train loss: 20.7985, train acc: 0.0070, val loss: 4.6464, val acc: 0.0128
06:34:49 Epoch 2/30, train loss: 4.5294, train acc: 0.0210, val loss: 4.4556, val acc: 0.0210
06:36:03 Epoch 3/30, train loss: 4.4477, train acc: 0.0245, val loss: 4.4588, val acc: 0.0251
06:37:17 Epoch 4/30, train loss: 4.3189, train acc: 0.0315, val loss: 4.3181, val acc: 0.0379
06:38:30 Epoch 5/30, train loss: 4.3536, train acc: 0.0368, val loss: 4.4471, val acc: 0.0158
06:39:43 Epoch 6/30, train loss: 4.2739, train acc: 0.0420, val loss: 4.8276, val acc: 0.0228
06:40:56 Epoch 7/30, train loss: 4.4462, train acc: 0.0280, val loss: 4.4000, val acc: 0.0309
06:42:09 Epoch 8/30, train loss: 4.2944, train acc: 0.0280, val loss: 4.2479, val acc: 0.0338
06:43:22 Epoch 9/30, train loss: 4.1675, train acc: 0.0412, val loss: 4.2222, val acc: 0.0385
06:44:35 Epoch 10/30, train loss: 4.1401, train acc: 0.0490, val loss: 4.1831, val acc: 0.0408
06:45:48 Epoch 11/30, train loss: 4.1264, train acc: 0.0499, val loss: 4.2081, val acc: 0.0356
06:47:01 Epoch 12/30, train loss: 4.0559, train acc: 0.0420, val loss: 4.1059, val acc: 0.0490
06:48:14 Epoch 13/30, train loss: 4.0743, train acc: 0.0508, val loss: 4.1074, val acc: 0.0333
06:49:27 Epoch 14/30, train loss: 4.1253, train acc: 0.0508, val loss: 4.1178, val acc: 0.0344
06:50:40 Epoch 15/30, train loss: 3.9993, train acc: 0.0490, val loss: 4.2301, val acc: 0.0379
06:51:54 Epoch 16/30, train loss: 3.9700, train acc: 0.0525, val loss: 4.1625, val acc: 0.0327
06:53:07 Epoch 17/30, train loss: 3.9697, train acc: 0.0587, val loss: 4.1260, val acc: 0.0438
06:54:20 Epoch 18/30, train loss: 4.0379, train acc: 0.0552, val loss: 4.0397, val acc: 0.0391
06:55:33 Epoch 19/30, train loss: 3.9671, train acc: 0.0578, val loss: 4.2120, val acc: 0.0356
06:56:46 Epoch 20/30, train loss: 3.9901, train acc: 0.0525, val loss: 4.0744, val acc: 0.0473
06:57:59 Epoch 21/30, train loss: 3.9880, train acc: 0.0525, val loss: 4.0835, val acc: 0.0438
06:59:12 Epoch 22/30, train loss: 4.0047, train acc: 0.0595, val loss: 4.4364, val acc: 0.0257
07:00:25 Epoch 23/30, train loss: 3.9973, train acc: 0.0517, val loss: 4.0921, val acc: 0.0397
07:01:38 Epoch 24/30, train loss: 3.9572, train acc: 0.0560, val loss: 4.0182, val acc: 0.0484
07:02:51 Epoch 25/30, train loss: 4.0201, train acc: 0.0438, val loss: 4.0782, val acc: 0.0362
07:04:04 Epoch 26/30, train loss: 3.8688, train acc: 0.0639, val loss: 4.0163, val acc: 0.0414
07:05:17 Epoch 27/30, train loss: 3.9240, train acc: 0.0552, val loss: 4.1645, val acc: 0.0309
07:06:30 Epoch 28/30, train loss: 3.9195, train acc: 0.0604, val loss: 4.0665, val acc: 0.0449
07:07:43 Epoch 29/30, train loss: 3.8947, train acc: 0.0552, val loss: 4.0431, val acc: 0.0420
07:08:56 Epoch 30/30, train loss: 3.9224, train acc: 0.0622, val loss: 4.0445, val acc: 0.0403
07:08:56 Mean validation accuracy: 0.039323220536756125

07:08:58 ============ CV run for lr 0.001 and wd 0.001 ============
07:10:11 Epoch 1/30, train loss: 20.6269, train acc: 0.0184, val loss: 4.7461, val acc: 0.0163
07:11:24 Epoch 2/30, train loss: 4.4709, train acc: 0.0306, val loss: 4.3706, val acc: 0.0321
07:12:37 Epoch 3/30, train loss: 4.2422, train acc: 0.0420, val loss: 4.2375, val acc: 0.0286
07:13:50 Epoch 4/30, train loss: 4.1328, train acc: 0.0569, val loss: 4.1998, val acc: 0.0292
07:15:03 Epoch 5/30, train loss: 4.1013, train acc: 0.0429, val loss: 4.1419, val acc: 0.0327
07:16:16 Epoch 6/30, train loss: 3.9946, train acc: 0.0604, val loss: 4.0490, val acc: 0.0484
07:17:29 Epoch 7/30, train loss: 3.9418, train acc: 0.0569, val loss: 4.1320, val acc: 0.0397
07:18:42 Epoch 8/30, train loss: 3.8821, train acc: 0.0788, val loss: 3.9692, val acc: 0.0823
07:19:56 Epoch 9/30, train loss: 3.6462, train acc: 0.0919, val loss: 3.6512, val acc: 0.0776
07:21:09 Epoch 10/30, train loss: 3.4124, train acc: 0.1121, val loss: 4.2410, val acc: 0.0508
07:22:22 Epoch 11/30, train loss: 3.3424, train acc: 0.1243, val loss: 3.3543, val acc: 0.1161
07:23:35 Epoch 12/30, train loss: 3.2632, train acc: 0.1296, val loss: 3.6962, val acc: 0.0788
07:24:48 Epoch 13/30, train loss: 3.1940, train acc: 0.1366, val loss: 3.3075, val acc: 0.1237
07:26:01 Epoch 14/30, train loss: 3.1083, train acc: 0.1445, val loss: 3.3254, val acc: 0.1091
07:27:14 Epoch 15/30, train loss: 3.1064, train acc: 0.1489, val loss: 3.5496, val acc: 0.0957
07:28:27 Epoch 16/30, train loss: 3.0385, train acc: 0.1716, val loss: 4.0688, val acc: 0.0683
07:29:40 Epoch 17/30, train loss: 3.0492, train acc: 0.1602, val loss: 3.2604, val acc: 0.1400
07:30:53 Epoch 18/30, train loss: 2.8386, train acc: 0.1778, val loss: 3.1432, val acc: 0.1389
07:32:06 Epoch 19/30, train loss: 2.7257, train acc: 0.2180, val loss: 3.1271, val acc: 0.1575
07:33:20 Epoch 20/30, train loss: 2.6508, train acc: 0.2215, val loss: 2.9063, val acc: 0.2112
07:34:33 Epoch 21/30, train loss: 2.5564, train acc: 0.2356, val loss: 3.3153, val acc: 0.1505
07:35:47 Epoch 22/30, train loss: 2.4536, train acc: 0.2644, val loss: 2.7988, val acc: 0.1855
07:37:00 Epoch 23/30, train loss: 2.4380, train acc: 0.2583, val loss: 2.6180, val acc: 0.2445
07:38:13 Epoch 24/30, train loss: 2.3773, train acc: 0.2574, val loss: 2.5449, val acc: 0.2660
07:39:26 Epoch 25/30, train loss: 2.3161, train acc: 0.2811, val loss: 2.6432, val acc: 0.2631
07:40:39 Epoch 26/30, train loss: 2.1335, train acc: 0.3494, val loss: 2.6443, val acc: 0.2363
07:41:52 Epoch 27/30, train loss: 2.1157, train acc: 0.3345, val loss: 2.4959, val acc: 0.3011
07:43:05 Epoch 28/30, train loss: 2.0556, train acc: 0.3555, val loss: 2.6973, val acc: 0.2351
07:44:18 Epoch 29/30, train loss: 2.1195, train acc: 0.3336, val loss: 2.6111, val acc: 0.2515
07:45:31 Epoch 30/30, train loss: 1.9652, train acc: 0.3476, val loss: 2.4169, val acc: 0.2935
07:45:31 Mean validation accuracy: 0.24270711785297552

07:45:33 ============ CV run for lr 0.001 and wd 0.0001 ============
07:46:46 Epoch 1/30, train loss: 23.0497, train acc: 0.0114, val loss: 4.6619, val acc: 0.0193
07:47:59 Epoch 2/30, train loss: 4.4586, train acc: 0.0271, val loss: 4.3750, val acc: 0.0303
07:49:12 Epoch 3/30, train loss: 4.1887, train acc: 0.0499, val loss: 4.1916, val acc: 0.0618
07:50:25 Epoch 4/30, train loss: 4.0362, train acc: 0.0578, val loss: 4.0733, val acc: 0.0443
07:51:38 Epoch 5/30, train loss: 3.9753, train acc: 0.0569, val loss: 4.0700, val acc: 0.0414
07:52:51 Epoch 6/30, train loss: 3.9039, train acc: 0.0683, val loss: 4.0824, val acc: 0.0548
07:54:04 Epoch 7/30, train loss: 3.7440, train acc: 0.0972, val loss: 3.7472, val acc: 0.0805
07:55:17 Epoch 8/30, train loss: 3.3893, train acc: 0.1200, val loss: 3.4662, val acc: 0.1161
07:56:30 Epoch 9/30, train loss: 3.2433, train acc: 0.1270, val loss: 3.4695, val acc: 0.0986
07:57:43 Epoch 10/30, train loss: 3.1208, train acc: 0.1506, val loss: 3.2230, val acc: 0.1319
07:58:56 Epoch 11/30, train loss: 2.9545, train acc: 0.1804, val loss: 3.3321, val acc: 0.1359
08:00:09 Epoch 12/30, train loss: 2.8457, train acc: 0.2032, val loss: 3.1671, val acc: 0.1523
08:01:23 Epoch 13/30, train loss: 2.6754, train acc: 0.2154, val loss: 2.9195, val acc: 0.2048
08:02:36 Epoch 14/30, train loss: 2.5181, train acc: 0.2662, val loss: 3.0371, val acc: 0.1826
08:03:49 Epoch 15/30, train loss: 2.3268, train acc: 0.3065, val loss: 2.6289, val acc: 0.2818
08:05:02 Epoch 16/30, train loss: 2.1909, train acc: 0.3459, val loss: 2.5905, val acc: 0.2550
08:06:15 Epoch 17/30, train loss: 2.0998, train acc: 0.3450, val loss: 2.5316, val acc: 0.2789
08:07:28 Epoch 18/30, train loss: 1.8540, train acc: 0.4054, val loss: 2.3571, val acc: 0.3086
08:08:41 Epoch 19/30, train loss: 1.8817, train acc: 0.4194, val loss: 2.4585, val acc: 0.2859
08:09:54 Epoch 20/30, train loss: 1.7721, train acc: 0.4308, val loss: 2.6226, val acc: 0.2795
08:11:07 Epoch 21/30, train loss: 1.8122, train acc: 0.4037, val loss: 2.6239, val acc: 0.2935
08:12:20 Epoch 22/30, train loss: 1.6468, train acc: 0.4632, val loss: 2.2784, val acc: 0.3483
08:13:33 Epoch 23/30, train loss: 1.6591, train acc: 0.4667, val loss: 2.3573, val acc: 0.3326
08:14:46 Epoch 24/30, train loss: 1.6092, train acc: 0.4869, val loss: 2.5113, val acc: 0.3378
08:15:59 Epoch 25/30, train loss: 1.5109, train acc: 0.5114, val loss: 2.8463, val acc: 0.2783
08:17:12 Epoch 26/30, train loss: 1.4956, train acc: 0.4930, val loss: 2.2017, val acc: 0.3646
08:18:25 Epoch 27/30, train loss: 1.3491, train acc: 0.5508, val loss: 2.6246, val acc: 0.3390
08:19:38 Epoch 28/30, train loss: 1.3492, train acc: 0.5455, val loss: 2.3635, val acc: 0.3728
08:20:51 Epoch 29/30, train loss: 1.2561, train acc: 0.5832, val loss: 2.3581, val acc: 0.4061
08:22:04 Epoch 30/30, train loss: 1.2354, train acc: 0.5692, val loss: 2.5529, val acc: 0.3582
08:22:04 Mean validation accuracy: 0.3431155192532088

08:22:06 ============ CV run for lr 0.001 and wd 1e-05 ============
