02:03:21 Started training model SecondModel with timestamp 1688342601761113200 using the following parameters:
class_count=12
epoch_count=100
batch_size=50
learning_rate=0.0001
weight_decay=0.0001
cuda=False
resize_size=150
use_crop=False
crop_size=250
cross_validation=True
validation_split_percentage=40
validation_epochs=30
validation_accuracy_check=10
validation_grid={'lr': [0.001, 0.0001, 5e-05, 1e-05, 1e-06], 'wd': [0.1, 0.01, 0.001, 0.0001, 1e-05]}
print_to_file=True

02:03:21 Key for the classes:
{'Aquamarine': 0, 'Beryl Golden': 1, 'Bixbite': 2, 'Chrysocolla': 3, 'Emerald': 4, 'Garnet Red': 5, 'Jasper': 6, 'Moonstone': 7, 'Opal': 8, 'Rhodolite': 9, 'Spodumene': 10, 'Tanzanite': 11}
02:03:22 ============ CV run for lr 0.001 and wd 0.1 ============
02:03:28 Epoch 1/30, train loss: 6.8006, train acc: 0.1163, val loss: 14.9028, val acc: 0.0811
02:03:32 Epoch 2/30, train loss: 11.5811, train acc: 0.1221, val loss: 3.0553, val acc: 0.0772
02:03:37 Epoch 3/30, train loss: 2.9493, train acc: 0.0756, val loss: 2.7223, val acc: 0.0656
02:03:42 Epoch 4/30, train loss: 2.5918, train acc: 0.0930, val loss: 2.5145, val acc: 0.0849
02:03:46 Epoch 5/30, train loss: 2.5435, train acc: 0.0698, val loss: 2.4875, val acc: 0.1197
02:03:51 Epoch 6/30, train loss: 2.5172, train acc: 0.1105, val loss: 2.6419, val acc: 0.0888
02:03:55 Epoch 7/30, train loss: 2.6096, train acc: 0.0756, val loss: 2.6010, val acc: 0.0656
02:04:00 Epoch 8/30, train loss: 2.4991, train acc: 0.1163, val loss: 2.7464, val acc: 0.0656
02:04:05 Epoch 9/30, train loss: 2.4911, train acc: 0.0988, val loss: 2.5030, val acc: 0.0772
02:04:09 Epoch 10/30, train loss: 2.4747, train acc: 0.0930, val loss: 2.4933, val acc: 0.1004
02:04:14 Epoch 11/30, train loss: 2.4296, train acc: 0.1686, val loss: 2.4137, val acc: 0.1506
02:04:18 Epoch 12/30, train loss: 2.3639, train acc: 0.2151, val loss: 2.7134, val acc: 0.0927
02:04:23 Epoch 13/30, train loss: 2.5845, train acc: 0.0872, val loss: 2.6945, val acc: 0.0811
02:04:28 Epoch 14/30, train loss: 2.5407, train acc: 0.0756, val loss: 2.5538, val acc: 0.0656
02:04:33 Epoch 15/30, train loss: 2.4642, train acc: 0.1105, val loss: 2.4784, val acc: 0.0656
02:04:37 Epoch 16/30, train loss: 2.4649, train acc: 0.1105, val loss: 2.6197, val acc: 0.0772
02:04:42 Epoch 17/30, train loss: 2.4593, train acc: 0.1395, val loss: 2.4629, val acc: 0.1158
02:04:46 Epoch 18/30, train loss: 2.4035, train acc: 0.1279, val loss: 2.4364, val acc: 0.1158
02:04:51 Epoch 19/30, train loss: 2.3874, train acc: 0.1919, val loss: 2.4583, val acc: 0.0772
02:04:56 Epoch 20/30, train loss: 2.4497, train acc: 0.1279, val loss: 2.4468, val acc: 0.0811
02:05:00 Epoch 21/30, train loss: 2.4231, train acc: 0.1512, val loss: 2.4406, val acc: 0.0927
02:05:05 Epoch 22/30, train loss: 2.4082, train acc: 0.1453, val loss: 2.5660, val acc: 0.0656
02:05:09 Epoch 23/30, train loss: 2.4795, train acc: 0.1105, val loss: 2.4981, val acc: 0.0656
02:05:14 Epoch 24/30, train loss: 2.4451, train acc: 0.1105, val loss: 2.4939, val acc: 0.0927
02:05:19 Epoch 25/30, train loss: 2.4503, train acc: 0.1337, val loss: 2.5000, val acc: 0.0656
02:05:23 Epoch 26/30, train loss: 2.4519, train acc: 0.1279, val loss: 2.4831, val acc: 0.0734
02:05:28 Epoch 27/30, train loss: 2.4086, train acc: 0.1395, val loss: 2.4556, val acc: 0.1429
02:05:33 Epoch 28/30, train loss: 2.4066, train acc: 0.1337, val loss: 2.4318, val acc: 0.1081
02:05:37 Epoch 29/30, train loss: 2.3656, train acc: 0.1802, val loss: 2.4330, val acc: 0.1120
02:05:42 Epoch 30/30, train loss: 2.3258, train acc: 0.2035, val loss: 2.5272, val acc: 0.0811
02:05:42 Mean validation accuracy: 0.08996138996138996

02:05:42 ============ CV run for lr 0.001 and wd 0.01 ============
02:05:47 Epoch 1/30, train loss: 16.0540, train acc: 0.0814, val loss: 16.4286, val acc: 0.0849
02:05:52 Epoch 2/30, train loss: 13.6257, train acc: 0.1047, val loss: 5.5825, val acc: 0.1467
02:05:56 Epoch 3/30, train loss: 4.2144, train acc: 0.1047, val loss: 3.5282, val acc: 0.0811
02:06:01 Epoch 4/30, train loss: 2.9153, train acc: 0.0988, val loss: 3.5459, val acc: 0.0772
02:06:05 Epoch 5/30, train loss: 2.9492, train acc: 0.0523, val loss: 2.6466, val acc: 0.0656
02:06:10 Epoch 6/30, train loss: 2.5363, train acc: 0.0930, val loss: 2.6566, val acc: 0.0656
02:06:15 Epoch 7/30, train loss: 2.5073, train acc: 0.1047, val loss: 2.4900, val acc: 0.0927
02:06:19 Epoch 8/30, train loss: 2.4480, train acc: 0.1279, val loss: 2.4471, val acc: 0.0734
02:06:24 Epoch 9/30, train loss: 2.4185, train acc: 0.1163, val loss: 2.4136, val acc: 0.1313
02:06:29 Epoch 10/30, train loss: 2.3476, train acc: 0.1512, val loss: 2.4057, val acc: 0.1969
02:06:33 Epoch 11/30, train loss: 2.3710, train acc: 0.1744, val loss: 2.2865, val acc: 0.2124
02:06:38 Epoch 12/30, train loss: 2.1505, train acc: 0.2500, val loss: 2.2023, val acc: 0.1969
02:06:42 Epoch 13/30, train loss: 2.1539, train acc: 0.2326, val loss: 2.2779, val acc: 0.1351
02:06:47 Epoch 14/30, train loss: 2.1462, train acc: 0.2035, val loss: 2.0415, val acc: 0.2819
02:06:51 Epoch 15/30, train loss: 1.8646, train acc: 0.3430, val loss: 2.9190, val acc: 0.1776
02:06:56 Epoch 16/30, train loss: 2.4714, train acc: 0.1512, val loss: 2.0606, val acc: 0.2201
02:07:01 Epoch 17/30, train loss: 2.0194, train acc: 0.2326, val loss: 1.8502, val acc: 0.3475
02:07:05 Epoch 18/30, train loss: 1.9624, train acc: 0.3256, val loss: 1.8672, val acc: 0.3514
02:07:10 Epoch 19/30, train loss: 2.1363, train acc: 0.2791, val loss: 2.2963, val acc: 0.1622
02:07:15 Epoch 20/30, train loss: 1.9843, train acc: 0.2384, val loss: 1.8784, val acc: 0.3320
