03:15:12 Started training model SecondModel with timestamp 1688346912439458000 using the following parameters:
class_count=87
epoch_count=100
batch_size=50
learning_rate=0.0001
weight_decay=0.0001
cuda=False
resize_size=150
use_crop=False
crop_size=250
cross_validation=True
validation_split_percentage=40
validation_epochs=30
validation_accuracy_check=10
validation_grid={'lr': [0.001, 0.0001, 5e-05, 1e-05, 1e-06], 'wd': [0.1, 0.01, 0.001, 0.0001, 1e-05]}
print_to_file=True

03:15:12 Key for the classes:
{'Alexandrite': 0, 'Almandine': 1, 'Amazonite': 2, 'Amber': 3, 'Amethyst': 4, 'Ametrine': 5, 'Andalusite': 6, 'Andradite': 7, 'Aquamarine': 8, 'Aventurine Green': 9, 'Aventurine Yellow': 10, 'Benitoite': 11, 'Beryl Golden': 12, 'Bixbite': 13, 'Bloodstone': 14, 'Blue Lace Agate': 15, 'Carnelian': 16, 'Cats Eye': 17, 'Chalcedony': 18, 'Chalcedony Blue': 19, 'Chrome Diopside': 20, 'Chrysoberyl': 21, 'Chrysocolla': 22, 'Chrysoprase': 23, 'Citrine': 24, 'Coral': 25, 'Danburite': 26, 'Diamond': 27, 'Diaspore': 28, 'Dumortierite': 29, 'Emerald': 30, 'Fluorite': 31, 'Garnet Red': 32, 'Goshenite': 33, 'Grossular': 34, 'Hessonite': 35, 'Hiddenite': 36, 'Iolite': 37, 'Jade': 38, 'Jasper': 39, 'Kunzite': 40, 'Kyanite': 41, 'Labradorite': 42, 'Lapis Lazuli': 43, 'Larimar': 44, 'Malachite': 45, 'Moonstone': 46, 'Morganite': 47, 'Onyx Black': 48, 'Onyx Green': 49, 'Onyx Red': 50, 'Opal': 51, 'Pearl': 52, 'Peridot': 53, 'Prehnite': 54, 'Pyrite': 55, 'Pyrope': 56, 'Quartz Beer': 57, 'Quartz Lemon': 58, 'Quartz Rose': 59, 'Quartz Rutilated': 60, 'Quartz Smoky': 61, 'Rhodochrosite': 62, 'Rhodolite': 63, 'Rhodonite': 64, 'Ruby': 65, 'Sapphire Blue': 66, 'Sapphire Pink': 67, 'Sapphire Purple': 68, 'Sapphire Yellow': 69, 'Scapolite': 70, 'Serpentine': 71, 'Sodalite': 72, 'Spessartite': 73, 'Sphene': 74, 'Spinel': 75, 'Spodumene': 76, 'Sunstone': 77, 'Tanzanite': 78, 'Tigers Eye': 79, 'Topaz': 80, 'Tourmaline': 81, 'Tsavorite': 82, 'Turquoise': 83, 'Variscite': 84, 'Zircon': 85, 'Zoisite': 86}
03:15:13 ============ CV run for lr 0.001 and wd 0.1 ============
03:15:40 Epoch 1/30, train loss: 5.3968, train acc: 0.0105, val loss: 4.5375, val acc: 0.0123
03:16:08 Epoch 2/30, train loss: 4.4947, train acc: 0.0105, val loss: 4.4653, val acc: 0.0047
03:16:35 Epoch 3/30, train loss: 4.4562, train acc: 0.0123, val loss: 4.4662, val acc: 0.0093
03:17:03 Epoch 4/30, train loss: 4.4507, train acc: 0.0166, val loss: 4.4626, val acc: 0.0134
03:17:30 Epoch 5/30, train loss: 4.4471, train acc: 0.0096, val loss: 4.4648, val acc: 0.0111
03:17:58 Epoch 6/30, train loss: 4.4491, train acc: 0.0149, val loss: 4.4638, val acc: 0.0134
03:18:26 Epoch 7/30, train loss: 4.4470, train acc: 0.0088, val loss: 4.4643, val acc: 0.0117
03:18:53 Epoch 8/30, train loss: 4.4454, train acc: 0.0105, val loss: 4.4659, val acc: 0.0093
03:19:21 Epoch 9/30, train loss: 4.4440, train acc: 0.0105, val loss: 4.4610, val acc: 0.0117
03:19:49 Epoch 10/30, train loss: 4.4447, train acc: 0.0114, val loss: 4.4621, val acc: 0.0216
03:20:16 Epoch 11/30, train loss: 4.4459, train acc: 0.0175, val loss: 4.4585, val acc: 0.0158
03:20:44 Epoch 12/30, train loss: 4.4451, train acc: 0.0131, val loss: 4.4606, val acc: 0.0117
03:21:11 Epoch 13/30, train loss: 4.4464, train acc: 0.0149, val loss: 4.4650, val acc: 0.0163
03:21:39 Epoch 14/30, train loss: 4.4441, train acc: 0.0149, val loss: 4.4583, val acc: 0.0163
03:22:07 Epoch 15/30, train loss: 4.4486, train acc: 0.0149, val loss: 4.4591, val acc: 0.0134
03:22:35 Epoch 16/30, train loss: 4.4479, train acc: 0.0166, val loss: 4.4639, val acc: 0.0134
03:23:02 Epoch 17/30, train loss: 4.4471, train acc: 0.0114, val loss: 4.4602, val acc: 0.0117
03:23:30 Epoch 18/30, train loss: 4.4471, train acc: 0.0088, val loss: 4.4618, val acc: 0.0152
03:23:58 Epoch 19/30, train loss: 4.4438, train acc: 0.0158, val loss: 4.4675, val acc: 0.0152
03:24:26 Epoch 20/30, train loss: 4.4391, train acc: 0.0166, val loss: 4.4653, val acc: 0.0216
03:24:54 Epoch 21/30, train loss: 4.4418, train acc: 0.0096, val loss: 4.4612, val acc: 0.0134
03:25:21 Epoch 22/30, train loss: 4.4452, train acc: 0.0114, val loss: 4.4619, val acc: 0.0152
03:25:49 Epoch 23/30, train loss: 4.4440, train acc: 0.0131, val loss: 4.4636, val acc: 0.0117
03:26:17 Epoch 24/30, train loss: 4.4477, train acc: 0.0193, val loss: 4.4644, val acc: 0.0239
03:26:44 Epoch 25/30, train loss: 4.4488, train acc: 0.0166, val loss: 4.4628, val acc: 0.0134
